Date,Death,Tmin,Tmax
01/01/1981,66,-26.58921007,-12.62658859
02/01/1981,62,-21.23212061,-11.64702218
03/01/1981,75,-33.10665338,-26.40568154
04/01/1981,55,-35.42063294,-19.74208821
05/01/1981,66,-27.88163469,-13.24981311
06/01/1981,58,-20.27298779,-5.138674308
07/01/1981,57,-14.99414403,-2.977572888
08/01/1981,81,-21.79865437,-16.69000748
09/01/1981,64,-24.67243957,-12.64191378
10/01/1981,62,-21.46885123,-12.772614
11/01/1981,66,-28.07999003,-21.32618988
12/01/1981,55,-26.4191378,-18.95439821
13/01/1981,58,-30.5453526,-17.40979317
14/01/1981,71,-28.81834039,-13.49925243
15/01/1981,73,-27.11749315,-11.98218291
16/01/1981,62,-24.74806878,-11.53401445
17/01/1981,54,-19.33952155,-9.94268627
18/01/1981,67,-21.8762771,-2.098180912
19/01/1981,56,-8.635933217,0.526414154
20/01/1981,63,-16.17194119,-7.479441814
21/01/1981,70,-23.80650386,-7.655868428
22/01/1981,53,-13.45427361,-3.18913531
23/01/1981,50,-10.70919512,-2.911039123
24/01/1981,56,-8.628332918,-3.363443808
25/01/1981,46,-19.75579367,-0.524046848
26/01/1981,60,-7.160229255,6.802890606
27/01/1981,47,-3.964365811,1.796287067
28/01/1981,49,-15.99663593,-7.341265886
29/01/1981,54,-17.2247695,-6.960254174
30/01/1981,62,-18.71604784,-11.35073511
31/01/1981,39,-18.82419636,-5.920632943
01/02/1981,61,-14.8030152,3.530899576
02/02/1981,65,-3.75479691,4.303015201
03/02/1981,61,-18.16558684,-12.69112883
04/02/1981,65,-21.50062298,-11.93222028
05/02/1981,68,-20.42536756,-10.58460005
06/02/1981,51,-16.53476202,-4.975579367
07/02/1981,59,-10.48716671,-0.327809619
08/02/1981,64,-5.202965363,2.180164465
09/02/1981,58,-8.196112634,-3.439571393
10/02/1981,61,-12.68016447,4.886244705
11/02/1981,61,-2.501744331,10.17505607
12/02/1981,53,-16.64104161,-11.59531523
13/02/1981,52,-18.22863195,-5.567530526
14/02/1981,66,-12.80675305,-1.978943434
15/02/1981,57,-11.85011214,0.456516322
16/02/1981,53,-6.657737354,7.275728881
17/02/1981,59,2.707699975,6.87752305
18/02/1981,58,3.13231996,7.095938201
19/02/1981,45,2.725018689,7.125716422
20/02/1981,61,3.225641665,8.365312734
21/02/1981,62,4.082481934,12.63256915
22/02/1981,54,4.637054573,13.60889609
23/02/1981,55,2.176551209,12.66085223
24/02/1981,51,3.463618241,8.201844007
25/02/1981,60,0.203339148,3.229877897
26/02/1981,41,-0.559681037,4.97121854
27/02/1981,39,-4.144904062,4.333042612
28/02/1981,56,-4.302392225,2.139795664
01/03/1981,45,-1.049464241,3.667331174
02/03/1981,63,-2.262521804,2.713805133
03/03/1981,55,-11.72103165,-4.980687765
