Y,M,SOI,NOI,ONI,Nino3,Nino34,AO,NAO,PDO,PNA,AMO,WHWP,NAOJ
1948,1,NaN,0.971,NaN,NaN,NaN,NaN,NaN,-0.11,NaN,-0.015,-0.17,1.53
1948,2,NaN,4.704,NaN,NaN,NaN,NaN,NaN,-0.74,NaN,-0.027,-0.18,0.66
1948,3,NaN,-0.896,NaN,NaN,NaN,NaN,NaN,-0.03,NaN,0.028,0.26,3.48
1948,4,NaN,-3.557,NaN,NaN,NaN,NaN,NaN,-1.33,NaN,-0.069,-0.03,-0.48
1948,5,NaN,-1.479,NaN,NaN,NaN,NaN,NaN,-0.23,NaN,-0.004,-0.46,-1.23
1948,6,NaN,-2.252,NaN,NaN,NaN,NaN,NaN,0.08,NaN,0.055,-0.2,-0.27
1948,7,NaN,-1.277,NaN,NaN,NaN,NaN,NaN,-0.92,NaN,-0.039,-1.6,0.59
1948,8,NaN,0.96,NaN,NaN,NaN,NaN,NaN,-1.56,NaN,-0.022,-2.42,0.34
1948,9,NaN,0.369,NaN,NaN,NaN,NaN,NaN,-1.74,NaN,-0.052,-1.81,0.82
1948,10,NaN,-0.315,NaN,NaN,NaN,NaN,NaN,-1.32,NaN,0.008,-2.02,0.43
1948,11,NaN,5.021,NaN,NaN,NaN,NaN,NaN,-0.89,NaN,0.135,-1.78,2.64
1948,12,NaN,2.2,NaN,NaN,NaN,NaN,NaN,-1.7,NaN,0.063,-0.28,1.09
1949,1,NaN,5.43,NaN,NaN,NaN,NaN,NaN,-2.01,NaN,0.154,-0.13,1.5
1949,2,NaN,4.361,NaN,NaN,NaN,NaN,NaN,-3.6,NaN,0.161,-0.13,4.01
1949,3,NaN,-1.439,NaN,NaN,NaN,NaN,NaN,-1,NaN,0.039,-0.29,-0.96
1949,4,NaN,-0.154,NaN,NaN,NaN,NaN,NaN,-0.53,NaN,0.099,0.53,3.41
1949,5,NaN,-1.666,NaN,NaN,NaN,NaN,NaN,-1.07,NaN,-0.023,-0.66,-1.39
1949,6,NaN,-1.579,NaN,NaN,NaN,NaN,NaN,-0.7,NaN,0.002,-0.6,-1.51
1949,7,NaN,-0.048,NaN,NaN,NaN,NaN,NaN,-0.56,NaN,0.072,-1.04,-0.93
1949,8,NaN,0.707,NaN,NaN,NaN,NaN,NaN,-1.3,NaN,0.103,-2.09,1.38
1949,9,NaN,-0.233,NaN,NaN,NaN,NaN,NaN,-0.93,NaN,0.071,-0.81,-1.81
